employ_apply,employ_decision,employ_cnt,life_cnt_apply,life_cnt,life_decision,pcr_test_cnt,pcr_cnt
,,,,,,25072.0,18692.0
63008.0,57385.0,558.17,,,,8746.0,20213.0
63008.0,57385.0,558.17,,,,20291.0,23404.0
63008.0,57385.0,558.17,,,,84338.0,57970.0
63008.0,57385.0,558.17,,,,88446.0,83265.0
63008.0,57385.0,558.17,,,,73967.0,77099.0
63008.0,57385.0,558.17,,,,81440.0,75713.0
63008.0,57385.0,558.17,,,,63373.0,79118.0
51994.0,49507.0,308.82,,,,35730.0,63017.0
51994.0,49507.0,308.82,,,,24008.0,26580.0
51994.0,49507.0,308.82,,,,19942.0,32173.0
51994.0,49507.0,308.82,,,,86551.0,76546.0
51994.0,49507.0,308.82,,,,81255.0,87836.0
51994.0,49507.0,308.82,,,,101255.0,90928.0
51994.0,49507.0,308.82,,,,70610.0,89586.0
63170.0,68466.0,526.99,,,,44662.0,69509.0
63170.0,68466.0,526.99,,,,16038.0,29515.0
63170.0,68466.0,526.99,,,,80773.0,76874.0
63170.0,68466.0,526.99,,,,103313.0,82176.0
63170.0,68466.0,526.99,,,,86804.0,84019.0
63170.0,68466.0,526.99,,,,85769.0,79542.0
63170.0,68466.0,526.99,,,,101273.0,76310.0
71900.0,66271.0,537.84,,,,37116.0,65109.0
71900.0,66271.0,537.84,,,,18784.0,23158.0
71900.0,66271.0,537.84,,,,81941.0,76114.0
71900.0,66271.0,537.84,,,,66335.0,75611.0
71900.0,66271.0,537.84,,,,90824.0,80710.0
71900.0,66271.0,537.84,,,,64332.0,74701.0
71900.0,66271.0,537.84,,,,82296.0,70240.0
68652.0,68086.0,551.71,,,,40425.0,52333.0
68652.0,68086.0,551.71,,,,17772.0,21573.0
68652.0,68086.0,551.71,,,,67269.0,67030.0
68652.0,68086.0,551.71,,,,59110.0,68053.0
68652.0,68086.0,551.71,,,,68807.0,67066.0
68652.0,68086.0,551.71,,,,61902.0,60797.0
68652.0,68086.0,551.71,,,,71144.0,62263.0
52120.0,58698.0,551.49,,,,33043.0,46219.0
52120.0,58698.0,551.49,,,,18191.0,16364.0
52120.0,58698.0,551.49,,,,58499.0,63715.0
52120.0,58698.0,551.49,,,,78153.0,62377.0
52120.0,58698.0,551.49,,,,65352.0,61973.0
52120.0,58698.0,551.49,,,,32865.0,28198.0
52120.0,58698.0,551.49,,,,56650.0,60825.0
62658.0,69626.0,572.96,,,,30220.0,44156.0
62658.0,69626.0,572.96,,,,14716.0,17310.0
62658.0,69626.0,572.96,,,,58421.0,64723.0
62658.0,69626.0,572.96,,,,59849.0,62619.0
62658.0,69626.0,572.96,,,,61138.0,61857.0
62658.0,69626.0,572.96,,,,54504.0,55785.0
62658.0,69626.0,572.96,,,,74955.0,59171.0
62544.0,52619.0,415.2,,,,31579.0,43707.0
62544.0,52619.0,415.2,,,,14683.0,15549.0
62544.0,52619.0,415.2,,,,54180.0,58407.0
62544.0,52619.0,415.2,,,,18324.0,31216.0
62544.0,52619.0,415.2,,,,54702.0,55132.0
62544.0,52619.0,415.2,,,,59234.0,57555.0
62544.0,52619.0,415.2,,,,57864.0,58588.0
80494.0,66930.0,482.04,,,,29196.0,43258.0
80494.0,66930.0,482.04,,,,19775.0,13426.0
80494.0,66930.0,482.04,,,,60090.0,56574.0
80494.0,66930.0,482.04,,,,82324.0,57099.0
80494.0,66930.0,482.04,,,,30168.0,57843.0
80494.0,66930.0,482.04,,,,68856.0,56914.0
80494.0,66930.0,482.04,,,,45153.0,56037.0
71342.0,68265.0,598.88,,,,31058.0,42424.0
71342.0,68265.0,598.88,,,,14409.0,13171.0
71342.0,68265.0,598.88,,,,67917.0,63416.0
71342.0,68265.0,598.88,,,,40237.0,55548.0
71342.0,68265.0,598.88,,,,60152.0,65062.0
71342.0,68265.0,598.88,,,,56851.0,67850.0
71342.0,68265.0,598.88,,,,55562.0,69723.0
66357.0,65366.0,511.7,,,,31295.0,51199.0
66357.0,65366.0,511.7,,,,17266.0,15883.0
66357.0,65366.0,511.7,,,,49870.0,62816.0
66357.0,65366.0,511.7,,,,47776.0,69081.0
66357.0,65366.0,511.7,,,,84919.0,74284.0
