,employ_apply,employ_decision,employ_cnt,life_cnt_apply,life_cnt,life_decision,pcr_test_cnt,pcr_cnt
2021/1/1,,,,0,0,0,25072,18692
2021/1/2,63008,57385,558.17,0,0,0,8746,20213
2021/1/3,63008,57385,558.17,0,0,0,20291,23404
2021/1/4,63008,57385,558.17,0,0,0,84338,57970
2021/1/5,63008,57385,558.17,0,0,0,88446,83265
2021/1/6,63008,57385,558.17,0,0,0,73967,77099
2021/1/7,63008,57385,558.17,0,0,0,81440,75713
2021/1/8,63008,57385,558.17,0,0,0,63373,79118
2021/1/9,51994,49507,308.82,0,0,0,35730,63017
2021/1/10,51994,49507,308.82,0,0,0,24008,26580
2021/1/11,51994,49507,308.82,0,0,0,19942,32173
2021/1/12,51994,49507,308.82,0,0,0,86551,76546
2021/1/13,51994,49507,308.82,0,0,0,81255,87836
2021/1/14,51994,49507,308.82,0,0,0,101255,90928
2021/1/15,51994,49507,308.82,0,0,0,70610,89586
2021/1/16,63170,68466,526.99,0,0,0,44662,69509
2021/1/17,63170,68466,526.99,0,0,0,16038,29515
2021/1/18,63170,68466,526.99,0,0,0,80773,76874
2021/1/19,63170,68466,526.99,0,0,0,103313,82176
2021/1/20,63170,68466,526.99,0,0,0,86804,84019
2021/1/21,63170,68466,526.99,0,0,0,85769,79542
2021/1/22,63170,68466,526.99,0,0,0,101273,76310
2021/1/23,71900,66271,537.84,0,0,0,37116,65109
2021/1/24,71900,66271,537.84,0,0,0,18784,23158
2021/1/25,71900,66271,537.84,0,0,0,81941,76114
2021/1/26,71900,66271,537.84,0,0,0,66335,75611
2021/1/27,71900,66271,537.84,0,0,0,90824,80710
2021/1/28,71900,66271,537.84,0,0,0,64332,74701
2021/1/29,71900,66271,537.84,0,0,0,82296,70240
2021/1/30,68652,68086,551.71,0,0,0,40425,52333
2021/1/31,68652,68086,551.71,0,0,0,17772,21573
2021/2/1,68652,68086,551.71,0,0,0,67269,67030
2021/2/2,68652,68086,551.71,0,0,0,59110,68053
2021/2/3,68652,68086,551.71,0,0,0,68807,67066
2021/2/4,68652,68086,551.71,0,0,0,61902,60797
2021/2/5,68652,68086,551.71,0,0,0,71144,62263
2021/2/6,52120,58698,551.49,0,0,0,33043,46219
2021/2/7,52120,58698,551.49,0,0,0,18191,16364
2021/2/8,52120,58698,551.49,0,0,0,58499,63715
2021/2/9,52120,58698,551.49,0,0,0,78153,62377
2021/2/10,52120,58698,551.49,0,0,0,65352,61973
2021/2/11,52120,58698,551.49,0,0,0,32865,28198
2021/2/12,52120,58698,551.49,0,0,0,56650,60825
2021/2/13,62658,69626,572.96,0,0,0,30220,44156
2021/2/14,62658,69626,572.96,0,0,0,14716,17310
2021/2/15,62658,69626,572.96,0,0,0,58421,64723
2021/2/16,62658,69626,572.96,0,0,0,59849,62619
2021/2/17,62658,69626,572.96,0,0,0,61138,61857
2021/2/18,62658,69626,572.96,0,0,0,54504,55785
2021/2/19,62658,69626,572.96,0,0,0,74955,59171
2021/2/20,62544,52619,415.2,0,0,0,31579,43707
2021/2/21,62544,52619,415.2,0,0,0,14683,15549
2021/2/22,62544,52619,415.2,0,0,0,54180,58407
2021/2/23,62544,52619,415.2,0,0,0,18324,31216
2021/2/24,62544,52619,415.2,0,0,0,54702,55132
2021/2/25,62544,52619,415.2,0,0,0,59234,57555
2021/2/26,62544,52619,415.2,0,0,0,57864,58588
2021/2/27,80494,66930,482.04,0,0,0,29196,43258
2021/2/28,80494,66930,482.04,0,0,0,19775,13426
2021/3/1,80494,66930,482.04,0,0,0,60090,56574
2021/3/2,80494,66930,482.04,0,0,0,82324,57099
2021/3/3,80494,66930,482.04,0,0,0,30168,57843
2021/3/4,80494,66930,482.04,0,0,0,68856,56914
2021/3/5,80494,66930,482.04,0,0,0,45153,56037
2021/3/6,71342,68265,598.88,0,0,0,31058,42424
2021/3/7,71342,68265,598.88,0,0,0,14409,13171
2021/3/8,71342,68265,598.88,0,0,0,67917,63416
2021/3/9,71342,68265,598.88,0,0,0,40237,55548
2021/3/10,71342,68265,598.88,0,0,0,60152,65062
2021/3/11,71342,68265,598.88,0,0,0,56851,67850
2021/3/12,71342,68265,598.88,0,0,0,55562,69723
2021/3/13,66357,65366,511.7,0,0,0,31295,51199
2021/3/14,66357,65366,511.7,0,0,0,17266,15883
2021/3/15,66357,65366,511.7,0,0,0,49870,62816
2021/3/16,66357,65366,511.7,0,0,0,47776,69081
2021/3/17,66357,65366,511.7,0,0,0,84919,74284
2021/3/18,66357,65366,511.7,0,0,0,54899,76547
2021/3/19,66357,65366,511.7,0,0,0,71301,75859
2021/3/20,66614,62139,481.18,0,0,0,30658,41569
2021/3/21,66614,62139,481.18,0,0,0,16997,18213
2021/3/22,66614,62139,481.18,0,0,0,51469,80347
2021/3/23,66614,62139,481.18,0,0,0,52715,74081
2021/3/24,66614,62139,481.18,0,0,0,59974,79234
2021/3/25,66614,62139,481.18,2743221,2641615,11451.68066,62645,95822
2021/3/26,66614,62139,481.18,2743221,2641615,11451.68066,67296,86567
2021/3/27,49485,34586,283.32,2743221,2641615,11451.68066,39591,62312
2021/3/28,49485,34586,283.32,2743221,2641615,11451.68066,18887,18794
2021/3/29,49485,34586,283.32,2743221,2641615,11451.68066,72179,63426
2021/3/30,49485,34586,283.32,2743221,2641615,11451.68066,41247,65873
