Newly confirmed cases,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed,Deaths(Cumulative),Severe cases
6496,74374.0,389151.0,2720.0,7026.0,1422.0
6114,76062.0,393237.0,2686.0,7094.0,1428.0
6278,77458.0,397599.0,2586.0,7196.0,1462.0
6660,79810.0,403063.0,2100.0,7308.0,1542.0
9916,81816.0,410275.0,1818.0,7436.0,1568.0
12132,86846.0,417093.0,2136.0,7580.0,1592.0
15586,93560.0,423651.0,2154.0,7712.0,1652.0
16090,102250.0,430905.0,1828.0,7862.0,1654.0
15056,110476.0,437203.0,2170.0,7990.0,1704.0
12260,117244.0,442025.0,2436.0,8086.0,1728.0
9802,122898.0,446869.0,2760.0,8186.0,1762.0
9260,125860.0,454199.0,2596.0,8288.0,1800.0
12172,127296.0,463345.0,2876.0,8464.0,1840.0
13498,130236.0,472941.0,2936.0,8628.0,1868.0
13590,133256.0,483933.0,2200.0,8758.0,1930.0
14056,136642.0,492925.0,2406.0,8890.0,1944.0
11516,139966.0,501517.0,2328.0,9000.0,1946.0
9894,142258.0,511379.0,2534.0,9094.0,2002.0
10710,138704.0,525903.0,2560.0,9292.0,2028.0
11286,132872.0,542283.0,2444.0,9484.0,2028.0
11486,132212.0,554301.0,2674.0,9658.0,2022.0
9642,130304.0,566895.0,1934.0,9868.0,2018.0
9422,129070.0,576923.0,1840.0,10036.0,2014.0
7976,127326.0,586691.0,1912.0,10166.0,2034.0
5520,121866.0,598879.0,1672.0,10314.0,1992.0
7702,116014.0,612085.0,1600.0,10502.0,2086.0
7936,111030.0,624621.0,1352.0,10720.0,2064.0
8244,107064.0,636231.0,1324.0,10900.0,2028.0
7094,103528.0,646887.0,946.0,11088.0,1948.0
6660,100844.0,656633.0,942.0,11304.0,1946.0
5346,98860.0,663949.0,902.0,11440.0,1950.0
3564,92638.0,674441.0,882.0,11584.0,1874.0
4642,87486.0,683941.0,998.0,11820.0,1794.0
5296,82056.0,694321.0,954.0,12036.0,1784.0
5148,76664.0,704587.0,786.0,12266.0,1754.0
4742,72576.0,713355.0,646.0,12482.0,1630.0
4554,69752.0,720067.0,560.0,12672.0,1590.0
3254,66800.0,726071.0,592.0,12786.0,1546.0
2430,63072.0,733211.0,680.0,12948.0,1518.0
3136,58398.0,740647.0,802.0,13110.0,1472.0
3770,55778.0,746479.0,728.0,13352.0,1426.0
3378,53986.0,751595.0,690.0,13544.0,1402.0
2594,50752.0,756679.0,1392.0,13694.0,1386.0
2710,48978.0,761311.0,1740.0,13820.0,1336.0
2720,46748.0,765727.0,1522.0,13900.0,1316.0
1928,45228.0,771005.0,1362.0,14026.0,1288.0
2610,40662.0,777935.0,1454.0,14200.0,1214.0
2886,38544.0,782493.0,1452.0,14388.0,1128.0
3080,37740.0,786487.0,1500.0,14544.0,1094.0
2594,36672.0,790079.0,1278.0,14662.0,1052.0
2456,35682.0,793327.0,1322.0,14830.0,1022.0
2058,34974.0,795983.0,1342.0,14944.0,1020.0
1478,33560.0,799099.0,1284.0,15054.0,982.0
2156,32218.0,802241.0,1264.0,15164.0,974.0
1846,30626.0,805985.0,1348.0,15290.0,944.0
2128,29834.0,808635.0,1480.0,15440.0,914.0
2114,28926.0,811505.0,1442.0,15610.0,880.0
2416,28650.0,814099.0,1452.0,15716.0,868.0
1988,28026.0,816665.0,1412.0,15770.0,872.0
1368,26268.0,819685.0,1352.0,15862.0,826.0
1774,25476.0,822115.0,1378.0,15964.0,814.0
2480,24760.0,824995.0,1360.0,16100.0,796.0
2336,24488.0,827487.0,1410.0,16234.0,776.0
2290,24240.0,830021.0,1342.0,16352.0,750.0
2090,24310.0,831951.0,1358.0,16450.0,746.0
2122,24308.0,833887.0,1442.0,16502.0,760.0
1198,23468.0,835943.0,1410.0,16592.0,762.0
2250,23162.0,838253.0,1386.0,16700.0,728.0
2618,23296.0,840491.0,1440.0,16800.0,708.0
2630,23620.0,842633.0,1438.0,16898.0,708.0
2536,24116.0,844755.0,1310.0,17014.0,674.0
2634,24624.0,846703.0,1312.0,17116.0,656.0
1964,24558.0,848749.0,1320.0,17176.0,654.0
1376,24256.0,850533.0,1318.0,17240.0,674.0
2260,23928.0,852929.0,1472.0,17352.0,670.0
3040,24434.0,855151.0,1288.0,17430.0,650.0
2984,25140.0,857205.0,1392.0,17512.0,660.0
2906,25698.0,859605.0,1292.0,17576.0,664.0
3034,26604.0,861647.0,1264.0,17620.0,648.0
2220,26542.0,863885.0,1286.0,17666.0,648.0
1634,26262.0,866049.0,1322.0,17718.0,640.0
2970,26650.0,868241.0,1374.0,17812.0,656.0
3848,27666.0,870709.0,1322.0,17872.0,650.0
3828,29142.0,873059.0,1308.0,17930.0,646.0
4060,30478.0,875687.0,1264.0,17992.0,662.0
4146,32324.0,877761.0,1254.0,18056.0,682.0
3506,33476.0,880021.0,1290.0,18116.0,684.0
2680,34118.0,882553.0,1294.0,18166.0,736.0
4154,35070.0,885321.0,1382.0,18220.0,764.0
5664,37338.0,888093.0,1438.0,18318.0,760.0
5196,40200.0,890691.0,1468.0,18364.0,788.0
5490,42818.0,893413.0,1350.0,18418.0,816.0
5510,44998.0,896459.0,1442.0,18434.0,862.0
4920,46694.0,899521.0,1538.0,18454.0,890.0
3108,47406.0,903305.0,1586.0,18490.0,902.0
5308,48720.0,905957.0,1598.0,18550.0,912.0
6920,51688.0,909271.0,1684.0,18594.0,928.0
6914,54724.0,912835.0,1722.0,18660.0,966.0
7022,57488.0,917141.0,1796.0,18700.0,1022.0
7484,59116.0,922605.0,1822.0,18758.0,1040.0
5696,60654.0,926945.0,1982.0,18794.0,1126.0
4196,59770.0,932643.0,1922.0,18844.0,1192.0
6888,61840.0,937093.0,2056.0,18932.0,1216.0
8604,64396.0,942191.0,2124.0,18994.0,1262.0
9140,69086.0,946541.0,2228.0,19070.0,1340.0
9038,72986.0,951783.0,1950.0,19162.0,1404.0
9582,77200.0,956597.0,2154.0,19238.0,1446.0
8178,80850.0,961115.0,2250.0,19276.0,1476.0
5784,81428.0,967113.0,2318.0,19336.0,1538.0
8656,83814.0,972809.0,2388.0,19414.0,1582.0
10560,88096.0,978205.0,2506.0,19522.0,1610.0
10948,92230.0,984635.0,2710.0,19594.0,1632.0
10238,96130.0,991319.0,2244.0,19702.0,1674.0
11204,99348.0,998041.0,2518.0,19820.0,1728.0
9208,102334.0,1004293.0,2660.0,19938.0,1796.0
6606,103212.0,1011551.0,2786.0,20002.0,1832.0
9916,104878.0,1018853.0,2808.0,20104.0,1906.0
11576,108196.0,1025817.0,3246.0,20208.0,1902.0
11790,112338.0,1032783.0,3436.0,20382.0,1956.0
9316,114238.0,1041139.0,2862.0,20452.0,2040.0
11980,117444.0,1049135.0,2974.0,20586.0,2100.0
11764,120312.0,1056791.0,3830.0,20716.0,2168.0
8916,122584.0,1064289.0,3774.0,20832.0,2166.0
8398,123430.0,1072493.0,4238.0,20932.0,2228.0
8110,123432.0,1079739.0,4616.0,21026.0,2196.0
8704,124906.0,1086671.0,4442.0,21170.0,2262.0
12064,126630.0,1097133.0,3338.0,21396.0,2262.0
14478,129932.0,1105331.0,4224.0,21638.0,2288.0
12982,134076.0,1113617.0,5706.0,21744.0,2304.0
9850,136122.0,1122755.0,5940.0,21874.0,2354.0
12474,138510.0,1131603.0,6228.0,22120.0,2378.0
14114,140208.0,1142273.0,7510.0,22322.0,2428.0
